repo,stars,releases,idade_anos,cbo,dit,lcom,loc,locComment
lcodecorex/TwinklingRefreshLayout,4002,0,9.56,4.28476821192053,1.3708609271523178,36.271523178807946,41.54304635761589,0
lecho/hellocharts-android,7666,14,10.95,6.42483660130719,1.6666666666666667,40.294117647058826,71.86274509803921,0
lenve/JavaEETest,3498,0,8.77,3.344155844155844,1.077922077922078,3.2662337662337664,13.85064935064935,0
lenve/VBlog,7418,0,7.74,4.551724137931035,1.0344827586206897,29.06896551724138,26.93103448275862,0
lenve/vhr,27946,0,7.71,4.4361702127659575,1.0212765957446808,48.329787234042556,31.606382978723403,0
leolin310148/ShortcutBadger,7355,0,11.85,5.290322580645161,1.1612903225806452,3.4838709677419355,28.548387096774192,0
lets-blade/blade,5879,9,10.28,4.62214983713355,1.234527687296417,42.156351791530945,49.899022801302934,0
LFDT-web3j/web3j,5305,30,9.05,4.274167987321712,1.7369255150554674,35.27337559429477,34.157686212361334,0
lgvalle/Material-Animations,13662,0,10.54,4.4,1.4666666666666666,4.7555555555555555,22.444444444444443,0
liaohuqiu/android-Ultra-Pull-To-Refresh,9563,8,10.86,4.0186335403726705,1.4037267080745341,19.142857142857142,34.01242236024845,0
LibrePDF/OpenPDF,4011,30,9.19,5.935243553008596,1.859025787965616,91.47163323782235,88.25845272206304,0
lightbend/config,6261,3,13.8,5.475,2.055,76.18,65.93,0
lihangleo2/ShadowLayout,3678,28,6.2,4.0,1.1384615384615384,21.615384615384617,52.87692307692308,0
lihengming/spring-boot-api-project-seed,9686,4,8.25,5.0,1.2666666666666666,9.733333333333333,32.266666666666666,0
lilishop/lilishop,3973,3,4.35,7.614046391752577,1.3170103092783505,13.322164948453608,27.59536082474227,0
line/armeria,4998,30,9.85,6.454248366013072,1.3219732337379395,33.440709617180204,46.0666044195456,0
lingochamp/FileDownloader,11112,30,9.75,4.5278810408921935,1.687732342007435,42.014869888475836,53.48327137546468,0
lingochamp/okdownload,5245,8,7.76,6.443148688046647,1.2653061224489797,35.25947521865889,55.352769679300295,0
linhaojun857/aurora,4449,0,3.08,7.287625418060201,1.117056856187291,7.25752508361204,16.5752508361204,0
linkedin/databus,3668,0,12.76,5.525725593667546,1.3568601583113455,46.73482849604222,82.01912928759894,0
linlinjava/litemall,19926,8,7.5,4.6175040518638575,1.1264181523500811,1532.8849270664505,147.2998379254457,0
LinShunKang/MyPerf4J,3534,23,7.53,4.101307189542483,1.173202614379085,10.61111111111111,33.65359477124183,0
linyiqun/DataMiningAlgorithm,3931,0,10.7,2.2936507936507935,1.0873015873015872,9.96031746031746,92.56349206349206,0
lipangit/JiaoZiVideoPlayer,10492,30,9.62,7.27536231884058,2.1159420289855073,56.63768115942029,65.3768115942029,0
liquibase/liquibase,5232,30,14.21,6.832950631458094,1.7956371986222732,65.46498277841562,56.781859931113665,0
lisawray/groupie,3671,28,9.05,5.096774193548387,1.8279569892473118,29.903225806451612,41.913978494623656,0
litesuits/android-common,3642,0,11.32,3.5176470588235293,1.2470588235294118,124.3529411764706,76.69411764705882,0
liuyubobobo/Play-with-Algorithms,3705,0,9.21,2.8947368421052633,1.0075187969924813,5.203007518796992,39.75187969924812,0
liyifeng1994/ssm,5956,0,9.26,3.473684210526316,1.6842105263157894,2.0526315789473686,19.42105263157895,0
LMAX-Exchange/disruptor,17989,14,13.0,4.480487804878049,1.2902439024390244,25.882926829268293,32.114634146341466,0
logisim-evolution/logisim-evolution,6200,30,11.01,5.961154855643045,2.4288713910761155,28.233070866141734,84.85774278215223,0
lsjwzh/RecyclerViewPager,3515,10,10.68,4.309859154929577,1.4929577464788732,9.971830985915492,38.521126760563384,0
LSPosed/LSPatch,8392,9,4.55,4.342465753424658,1.3493150684931507,23.876712328767123,48.0,0
LSPosed/LSPosed,21586,30,4.77,5.522248243559719,1.6463700234192038,48.114754098360656,53.75175644028103,0
lucasr/twoway-view,5223,0,12.67,6.078431372549019,1.8235294117647058,86.58823529411765,72.31372549019608,0
